prob,like
0.1,8.109794654821964e-10
0.101,9.709691841074827e-10
0.10200000000000001,1.160093444480298e-9
0.10300000000000001,1.3832155107350777e-9
0.10400000000000001,1.6459361688566061e-9
0.105,1.9546941400347985e-9
0.106,2.3168785646895034e-9
0.107,2.7409548062212767e-9
0.108,3.2366049300629158e-9
0.109,3.814884326948203e-9
0.11,4.488396069718184e-9
0.111,5.271484720680051e-9
0.112,6.1804514417395525e-9
0.113,7.233792402455152e-9
0.114,8.452462632003003e-9
0.115,9.860167619978408e-9
0.116,1.1483685138151951e-8
0.117,1.3353219930894651e-8
0.11800000000000001,1.5502794106097686e-8
0.11900000000000001,1.7970676251151815e-8
0.12,2.0799852499978548e-8
0.121,2.4038542987269463e-8
0.122,2.7740767345010388e-8
0.123,3.19669631240205e-8
0.124,3.678466125957259e-8
0.125,4.2269222945094975e-8
0.126,4.850464253135783e-8
0.127,5.558442133025162e-8
0.128,6.36125174720604e-8
0.129,7.270437724276711e-8
0.13,8.298805361309754e-8
0.131,9.460541796336081e-8
0.132,1.0771347130728025e-7
0.133,1.2248576162348508e-7
0.134,1.391139142146161e-7
0.135,1.578092823305581e-7
0.136,1.7880472561351978e-7
0.137,2.0235652424783478e-7
0.138,2.2874643702578167e-7
0.139,2.582839118715297e-7
0.14,2.913084576977956e-7
0.14100000000000001,3.28192186802858e-7
0.14200000000000002,3.6934253734836643e-7
0.14300000000000002,4.1520518578990505e-7
0.14400000000000002,4.662671594611925e-7
0.145,5.2306015983834e-7
0.146,5.861641073310653e-7
0.147,6.56210918762456e-7
0.148,7.338885290058999e-7
0.149,8.199451685460554e-7
0.15,9.151939090189493e-7
0.151,1.0205174890624664e-6
0.152,1.1368734330716492e-6
0.153,1.2652994757012485e-6
0.154,1.4069193051897535e-6
0.155,1.5629486387924395e-6
0.156,1.7347016438046252e-6
0.157,1.923597717828154e-6
0.158,2.1311686420824345e-6
0.159,2.3590661216850614e-6
0.16,2.6090697269221993e-6
0.161,2.8830952495972705e-6
0.162,3.183203488582008e-6
0.163,3.511609478698202e-6
0.164,3.8706921770274625e-6
0.165,4.263004620679533e-6
0.166,4.6912845699440315e-6
0.167,5.158465650605647e-6
0.168,5.6676890090149444e-06
0.169,6.222315493276799e-6
0.17,6.825938373641721e-6
0.171,7.482396614862844e-6
0.17200000000000001,8.195788712908034e-6
0.17300000000000001,8.970487107995311e-6
0.17400000000000002,9.811153185446309e-6
0.17500000000000002,1.0722752875322373e-5
0.176,1.1710572861229436e-5
0.177,1.2780237408036463e-5
0.178,1.3937725817558603e-5
0.179,1.518939052050452e-5
0.18,1.6541975812168973e-5
0.181,1.800263723848726e-5
0.182,1.9578961638125217e-5
0.183,2.1278987845292872e-5
0.184,2.3111228056903382e-5
0.185,2.5084689866588187e-5
0.186,2.7208898966889672e-5
